domain,cname,ip,asn,prefix,first_seen
v16-ml.melolostatic.com,v16-ml.melolostatic.com.edgesuite.net;a1458.v.akamai.net,23.221.50.9,AS20940,23.221.50.0/24,2026-08-25 07:41:18
v16-ml.melolostatic.com,v16-ml.melolostatic.com.edgesuite.net;a1458.v.akamai.net,184.87.193.71,AS20940,184.87.193.0/24,2026-08-25 07:41:18
v16-ml.melolostatic.com,v16-ml.melolostatic.com.edgesuite.net;a1458.v.akamai.net,184.87.193.73,AS20940,184.87.193.0/24,2026-08-25 07:41:18
v16-ml.melolostatic.com,v16-ml.melolostatic.com.edgesuite.net;a1458.v.akamai.net,184.87.193.74,AS20940,184.87.193.0/24,2026-08-25 07:41:18
v16-ml.melolostatic.com,v16-ml.melolostatic.com.edgesuite.net;a1458.v.akamai.net,184.87.193.75,AS20940,184.87.193.0/24,2026-08-25 07:41:18
v16-ml.melolostatic.com,v16-ml.melolostatic.com.edgesuite.net;a1458.v.akamai.net,184.87.193.87,AS20940,184.87.193.0/24,2026-08-25 07:41:18
v16-ml.melolostatic.com,v16-ml.melolostatic.com.edgesuite.net;a1458.v.akamai.net,184.87.193.91,AS20940,184.87.193.0/24,2026-08-25 07:41:18
v16-ml.melolostatic.com,v16-ml.melolostatic.com.edgesuite.net;a1458.v.akamai.net,184.87.193.92,AS20940,184.87.193.0/24,2026-08-25 07:41:18
v16-ml.melolostatic.com,v16-ml.melolostatic.com.edgesuite.net;a1458.v.akamai.net,184.87.193.95,AS20940,184.87.193.0/24,2026-08-25 07:41:18
v16-ml.melolostatic.com,v16-ml.melolostatic.com.edgesuite.net;a1458.v.akamai.net,184.87.193.96,AS20940,184.87.193.0/24,2026-08-25 07:41:18
v16-ml.melolostatic.com,v16-ml.melolostatic.com.edgesuite.net;a1458.v.akamai.net,23.215.35.131,AS20940,23.215.35.0/24,2026-08-25 07:41:18
v16-ml.melolostatic.com,v16-ml.melolostatic.com.edgesuite.net;a1458.v.akamai.net,23.215.35.132,AS20940,23.215.35.0/24,2026-08-25 07:41:18
v16-ml.melolostatic.com,v16-ml.melolostatic.com.edgesuite.net;a1458.v.akamai.net,23.215.35.136,AS20940,23.215.35.0/24,2026-08-25 07:41:18
v16-ml.melolostatic.com,v16-ml.melolostatic.com.edgesuite.net;a1458.v.akamai.net,23.215.35.167,AS20940,23.215.35.0/24,2026-08-25 07:41:18
v16-ml.melolostatic.com,v16-ml.melolostatic.com.edgesuite.net;a1458.v.akamai.net,184.87.193.70,AS20940,184.87.193.0/24,2026-08-25 07:41:18
v16-ml.melolostatic.com,v16-ml.melolostatic.com.edgesuite.net;a1458.v.akamai.net,184.87.193.72,AS20940,184.87.193.0/24,2026-08-25 07:41:18
v16-ml.melolostatic.com,v16-ml.melolostatic.com.edgesuite.net;a1458.v.akamai.net,184.87.193.77,AS20940,184.87.193.0/24,2026-08-25 07:41:18
v16-ml.melolostatic.com,v16-ml.melolostatic.com.edgesuite.net;a1458.v.akamai.net,184.87.193.81,AS20940,184.87.193.0/24,2026-08-25 07:41:18
v16-ml.melolostatic.com,v16-ml.melolostatic.com.edgesuite.net;a1458.v.akamai.net,184.87.193.82,AS20940,184.87.193.0/24,2026-08-25 07:41:18
v16-ml.melolostatic.com,v16-ml.melolostatic.com.edgesuite.net;a1458.v.akamai.net,184.87.193.94,AS20940,184.87.193.0/24,2026-08-25 07:41:18
v16-ml.melolostatic.com,v16-ml.melolostatic.com.edgesuite.net;a1458.v.akamai.net,184.87.193.97,AS20940,184.87.193.0/24,2026-08-25 07:41:18
v16-ml.melolostatic.com,v16-ml.melolostatic.com.edgesuite.net;a1458.v.akamai.net,184.87.193.89,AS20940,184.87.193.0/24,2026-08-25 07:41:18
v16-ml.melolostatic.com,v16-ml.melolostatic.com.edgesuite.net;a1458.v.akamai.net,23.215.35.164,AS20940,23.215.35.0/24,2026-08-25 07:41:18
v16-ml.melolostatic.com,v16-ml.melolostatic.com.edgesuite.net;a1458.v.akamai.net,23.45.176.105,AS20940,23.45.176.0/24,2026-08-25 07:41:18
v16-ml.melolostatic.com,v16-ml.melolostatic.com.edgesuite.net;a1458.v.akamai.net,23.45.176.106,AS20940,23.45.176.0/24,2026-08-25 07:41:18
v16-ml.melolostatic.com,v16-ml.melolostatic.com.edgesuite.net;a1458.v.akamai.net,23.53.15.147,AS20940,23.53.15.0/24,2026-08-25 07:41:18
v16-ml.melolostatic.com,v16-ml.melolostatic.com.edgesuite.net;a1458.v.akamai.net,23.53.15.152,AS20940,23.53.15.0/24,2026-08-25 07:41:18
v16-ml.melolostatic.com,v16-ml.melolostatic.com.edgesuite.net;a1458.v.akamai.net,23.53.15.153,AS20940,23.53.15.0/24,2026-08-25 07:41:18
v16-ml.melolostatic.com,v16-ml.melolostatic.com.edgesuite.net;a1458.v.akamai.net,23.53.15.154,AS20940,23.53.15.0/24,2026-08-25 07:41:18
v16-ml.melolostatic.com,v16-ml.melolostatic.com.edgesuite.net;a1458.v.akamai.net,23.53.15.155,AS20940,23.53.15.0/24,2026-08-25 07:41:18
v16-ml.melolostatic.com,v16-ml.melolostatic.com.edgesuite.net;a1458.v.akamai.net,23.53.15.160,AS20940,23.53.15.0/24,2026-08-25 07:41:18
v16-ml.melolostatic.com,v16-ml.melolostatic.com.edgesuite.net;a1458.v.akamai.net,23.53.15.169,AS20940,23.53.15.0/24,2026-08-25 07:41:18
v16-ml.melolostatic.com,v16-ml.melolostatic.com.edgesuite.net;a1458.v.akamai.net,23.53.15.171,AS20940,23.53.15.0/24,2026-08-25 07:41:18
v16-ml.melolostatic.com,v16-ml.melolostatic.com.edgesuite.net;a1458.v.akamai.net,23.44.5.176,AS20940,23.44.4.0/23,2026-08-25 07:41:18
v16-ml.melolostatic.com,v16-ml.melolostatic.com.edgesuite.net;a1458.v.akamai.net,23.44.5.184,AS20940,23.44.4.0/23,2026-08-25 07:41:18
v16-ml.melolostatic.com,v16-ml.melolostatic.com.edgesuite.net;a1458.v.akamai.net,23.44.5.195,AS20940,23.44.4.0/23,2026-08-25 07:41:18
v16-ml.melolostatic.com,v16-ml.melolostatic.com.edgesuite.net;a1458.v.akamai.net,23.44.5.200,AS20940,23.44.4.0/23,2026-08-25 07:41:18
v16-ml.melolostatic.com,v16-ml.melolostatic.com.edgesuite.net;a1458.v.akamai.net,23.44.5.203,AS20940,23.44.4.0/23,2026-08-25 07:41:18
v16-ml.melolostatic.com,v16-ml.melolostatic.com.edgesuite.net;a1458.v.akamai.net,23.44.5.208,AS20940,23.44.4.0/23,2026-08-25 07:41:18
v16-ml.melolostatic.com,v16-ml.melolostatic.com.edgesuite.net;a1458.v.akamai.net,23.215.35.156,AS20940,23.215.35.0/24,2026-08-25 07:41:18
v16-ml.melolostatic.com,v16-ml.melolostatic.com.edgesuite.net;a1458.v.akamai.net,103.124.139.82,AS138089,103.124.139.0/24,2026-08-25 07:41:18
v16-ml.melolostatic.com,v16-ml.melolostatic.com.edgesuite.net;a1458.v.akamai.net,23.221.50.104,AS20940,23.221.50.0/24,2026-08-25 07:41:18
v16-ml.melolostatic.com,v16-ml.melolostatic.com.edgesuite.net;a1458.v.akamai.net,23.221.50.88,AS20940,23.221.50.0/24,2026-08-25 07:41:18
v16-ml.melolostatic.com,v16-ml.melolostatic.com.edgesuite.net;a1458.v.akamai.net,23.221.50.89,AS20940,23.221.50.0/24,2026-08-25 07:41:18
v16-ml.melolostatic.com,v16-ml.melolostatic.com.edgesuite.net;a1458.v.akamai.net,23.221.50.96,AS20940,23.221.50.0/24,2026-08-25 07:41:18
